"alaska82","04-11-2021 12:51:18","clicked misc_q button","1"
"alaska82","04-11-2021 12:51:21","closed misc section","1"
"alaska82","04-11-2021 12:50:23","clicked notes_up button","1"
"alaska82","04-11-2021 12:50:26","opened education section","1"
"alaska82","04-11-2021 12:50:36","closed education section","1"
"alaska82","04-11-2021 12:50:39","opened education section","1"
"alaska82","04-11-2021 12:50:40","clicked education_up button","1"
"alaska82","04-11-2021 12:50:43","closed education section","1"
"alaska82","04-11-2021 12:50:44","opened work section","1"
"alaska82","04-11-2021 12:50:57","clicked work1_up button","1"
"alaska91","04-21-2021 11:45:03","entered website","1"
"alaska91","04-21-2021 11:46:44","clicked misc_q button","1"
"alaska91","04-21-2021 11:48:35","opened work section","1"
"alaska91","04-21-2021 11:49:38","opened misc section","1"
"alaska91","04-21-2021 11:45:12","clicked notes_up button","1"
"alaska91","04-21-2021 11:45:13","opened education section","1"
"alaska91","04-21-2021 11:45:17","clicked education_up button","1"
"alaska91","04-21-2021 11:45:22","clicked education_q button","1"
"alaska91","04-21-2021 11:45:24","opened work section","1"
"alaska91","04-21-2021 11:46:32","clicked work2_q button","1"
"alaska91","04-21-2021 11:46:34","clicked work1_up button","1"
"alaska91","04-21-2021 11:46:40","opened misc section","1"
"alaska95","04-11-2021 12:11:15","entered website","1"
"alaska95","04-11-2021 12:11:25","clicked notes_up button","1"
"alaska95","04-11-2021 12:11:27","opened education section","1"
"alaska95","04-11-2021 12:11:31","clicked education_up button","1"
"alaska95","04-11-2021 12:11:32","opened work section","1"
"alaska95","04-11-2021 12:11:40","clicked work2_up button","1"
"alaska95","04-11-2021 12:11:44","clicked work1_up button","1"
"alaska95","04-11-2021 12:11:47","opened misc section","1"
"alaska95","04-11-2021 12:11:50","clicked misc_up button","1"
"beach10","3/17/2021, 10:31:44","entered website","1"
"beach10","3/17/2021, 10:31:53","clicked notes_up button","1"
"beach10","3/17/2021, 10:31:53","unclicked notes_up button","1"
"beach10","3/17/2021, 10:31:55","clicked notes_down button","1"
"beach10","3/17/2021, 10:31:56","unclicked notes_down button","1"
"beach10","3/17/2021, 10:32:06","opened education section","1"
"beach10","3/17/2021, 10:32:10","opened education section","1"
"beach10","3/17/2021, 10:32:12","opened work section","1"
"beach20","04-21-2021 13:46:41","entered website","1"
"beach20","04-21-2021 13:47:46","opened work section","1"
"beach20","04-21-2021 13:46:50","opened education section","1"
"beach20","04-21-2021 13:46:58","opened work section","1"
"beach20","04-21-2021 13:47:17","opened misc section","1"
"beach20","04-21-2021 13:47:30","clicked notes_up button","1"
