code,candidate,woman,parent
run56,2,Man,Non-parent
run7,2,Man,Non-parent
run74,2,Woman,Non-parent
run76,2,Woman,Non-parent
run77,2,Woman,Parent
run81,2,Woman,Non-parent
run85,2,Woman,Non-parent
run88,2,Man,Non-parent
salad17,2,Man,Non-parent
salad36,2,Man,Non-parent
salad41,2,Woman,Parent
salad44,2,Man,Non-parent
salad46,2,Woman,Parent
salad55,2,Woman,Non-parent
salad59,2,Woman,Non-parent
salad6,2,Woman,Non-parent
salad61,2,Woman,Parent
salad71,2,Man,Parent
salad73,2,Man,Non-parent
salad78,2,Woman,Non-parent
salad95,2,Woman,Non-parent
sand11,2,Woman,Non-parent
sand17,2,Man,Non-parent
sand31,2,Woman,Non-parent
sand38,2,Woman,Non-parent
sand42,2,Woman,Parent
sand45,2,Man,Parent
sand5,2,Woman,Non-parent
sand50,2,Man,Parent
sand57,2,Man,Parent
sand58,2,Woman,Non-parent
sand6,2,Man,Non-parent
sand68,2,Woman,Parent
sand72,2,Man,Non-parent
sand73,2,Man,Parent
sand76,2,Woman,Non-parent
sand79,2,Woman,Parent
sand80,2,Man,Non-parent
sand93,2,Woman,Non-parent
shell21,2,Woman,Non-parent
shell26,2,Woman,Non-parent
shell39,2,Man,Parent
shell4,2,Woman,Non-parent
shell43,2,Woman,Non-parent
shell52,2,Man,Parent
shell59,2,Man,Parent
shell70,2,Man,Parent
shell77,2,Man,Non-parent
shell80,2,Woman,Parent
shell85,2,Woman,Parent
shell87,2,Woman,Parent
shell9,2,Man,Parent
shell99,2,Woman,Parent
shirt17,2,Woman,Non-parent
shirt32,2,Woman,Non-parent
shirt50,2,Woman,Non-parent
shirt53,2,Man,Parent
shirt54,2,Woman,Non-parent
shirt69,2,Man,Non-parent
shirt70,2,Woman,Non-parent
shirt82,2,Woman,Non-parent
shirt87,2,Woman,Non-parent
shirt94,2,Woman,Non-parent
silver40,2,Man,Non-parent
silver56,2,Man,Parent
silver58,2,Man,Non-parent
silver87,2,Man,Non-parent
silver97,2,Woman,Non-parent
sleep11,2,Woman,Parent
sleep18,2,Man,Parent
sleep19,2,Woman,Non-parent
sleep28,2,Woman,Parent
sleep5,2,Man,Non-parent
sleep70,2,Woman,Non-parent
sleep74,2,Woman,Parent
sleep88,2,Man,Non-parent
sleep90,2,Woman,Non-parent
sleep97,2,Woman,Parent
smoke12,2,Man,Non-parent
smoke14,2,Man,Non-parent
smoke16,2,Man,Parent
smoke19,2,Woman,Parent
smoke44,2,Man,Non-parent
smoke47,2,Woman,Parent
smoke58,2,Man,Parent
smoke60,2,Woman,Parent
smoke69,2,Woman,Parent
smoke73,2,Man,Parent
smoke79,2,Woman,Parent
smoke84,2,Woman,Non-parent
smoke91,2,Woman,Non-parent
smoke93,2,Man,Non-parent
smoke98,2,Man,Non-parent
snack100,2,Man,Non-parent
snack14,2,Man,Non-parent
snack17,2,Man,Non-parent
snack35,2,Woman,Non-parent
snack39,2,Woman,Parent
snack44,2,Man,Parent
snack82,2,Woman,Non-parent
snack88,2,Man,Non-parent
snack95,2,Woman,Non-parent
snow10,2,Woman,Parent
snow27,2,Woman,Parent
snow28,2,Man,Parent
snow30,2,Woman,Non-parent
snow31,2,Man,Parent
snow36,2,Woman,Parent
snow4,2,Man,Parent
snow41,2,Man,Parent
snow44,2,Man,Non-parent
snow53,2,Man,Parent
snow57,2,Woman,Parent
snow69,2,Man,Parent
snow71,2,Man,Parent
snow81,2,Man,Parent
snow86,2,Woman,Non-parent
snow87,2,Man,Parent
snow89,2,Woman,Non-parent
snow91,2,Woman,Non-parent
snow98,2,Woman,Parent
soda15,2,Man,Non-parent
soda30,2,Man,Parent
soda51,2,Man,Non-parent
soda60,2,Woman,Non-parent
soda7,2,Woman,Parent
soda75,2,Woman,Parent
soda78,2,Man,Parent
soda82,2,Woman,Non-parent
soda9,2,Man,Non-parent
soda94,2,Woman,Parent
soda95,2,Man,Non-parent
soup11,2,Woman,Parent
soup29,2,Man,Non-parent
soup3,2,Woman,Non-parent
soup39,2,Man,Non-parent
soup42,2,Woman,Parent
soup43,2,Woman,Parent
soup46,2,Man,Parent
soup49,2,Woman,Parent
soup56,2,Man,Parent
soup75,2,Woman,Parent
soup91,2,Man,Parent
south13,2,Woman,Non-parent
south25,2,Man,Parent
south32,2,Woman,Parent
south33,2,Man,Non-parent
south4,2,Woman,Non-parent
south50,2,Man,Non-parent
south56,2,Woman,Non-parent
south84,2,Woman,Non-parent
south85,2,Man,Non-parent
south88,2,Man,Non-parent
south97,2,Man,Non-parent
storm15,2,Man,Parent
storm16,2,Woman,Parent
storm25,2,Woman,Parent
storm28,2,Woman,Non-parent
storm31,2,Man,Parent
storm4,2,Woman,Parent
storm45,2,Man,Non-parent
storm46,2,Woman,Non-parent
storm63,2,Woman,Non-parent
storm66,2,Man,Non-parent
storm78,2,Man,Parent
storm86,2,Woman,Parent
storm91,2,Man,Parent
stream28,2,Man,Parent
stream33,2,Man,Non-parent
stream34,2,Woman,Parent
stream49,2,Man,Parent
stream53,2,Man,Parent
stream64,2,Man,Non-parent
stream66,2,Woman,Parent
stream69,2,Woman,Non-parent
stream77,2,Woman,Parent
stream8,2,Woman,Non-parent
stream9,2,Woman,Non-parent
street2,2,Man,Non-parent
street28,2,Woman,Parent
street40,2,Woman,Non-parent
street41,2,Woman,Non-parent
street62,2,Woman,Parent
street64,2,Woman,Parent
street73,2,Man,Parent
street75,2,Woman,Parent
street76,2,Man,Parent
street83,2,Man,Non-parent
street9,2,Man,Parent
street99,2,Man,Non-parent
surf100,2,Man,Non-parent
surf24,2,Man,Parent
surf44,2,Man,Non-parent
surf54,2,Woman,Parent
surf6,2,Man,Non-parent
surf63,2,Man,Non-parent
surf70,2,Man,Parent
surf79,2,Woman,Non-parent
surf81,2,Woman,Non-parent
surf82,2,Woman,Parent
surf94,2,Woman,Parent
swim10,2,Man,Non-parent
swim23,2,Woman,Non-parent
swim3,2,Man,Parent
swim31,2,Woman,Parent
swim44,2,Man,Non-parent
swim67,2,Man,Non-parent
swim81,2,Man,Non-parent
tea100,2,Woman,Non-parent
tea15,2,Woman,Parent
tea25,2,Man,Parent
tea33,2,Woman,Non-parent
tea35,2,Woman,Non-parent
tea36,2,Woman,Parent
tea42,2,Man,Non-parent
tea59,2,Man,Parent
tea60,2,Woman,Non-parent
tea61,2,Woman,Non-parent
tea63,2,Man,Non-parent
tea78,2,Woman,Parent
tea89,2,Man,Non-parent
tea93,2,Man,Parent
tea95,2,Woman,Parent
thunder10,2,Woman,Non-parent
thunder18,2,Woman,Non-parent
thunder19,2,Woman,Parent
thunder2,2,Woman,Parent
thunder20,2,Woman,Parent
thunder28,2,Woman,Non-parent
thunder30,2,Man,Parent
thunder37,2,Woman,Parent
thunder42,2,Man,Parent
thunder45,2,Man,Non-parent
thunder47,2,Woman,Non-parent
thunder48,2,Man,Parent
thunder49,2,Woman,Non-parent
thunder5,2,Woman,Parent
thunder55,2,Man,Non-parent
thunder6,2,Man,Non-parent
thunder60,2,Woman,Non-parent
thunder68,2,Woman,Parent
thunder74,2,Man,Parent
thunder75,2,Man,Non-parent
thunder81,2,Man,Parent
thunder88,2,Man,Non-parent
tire1,2,Man,Non-parent
tire11,2,Woman,Parent
tire18,2,Woman,Parent
tire24,2,Man,Non-parent
tire30,2,Woman,Non-parent
tire57,2,Man,Non-parent
tire60,2,Man,Non-parent
